"Project Number","Project Title","MIS Program","Location","Capability Sponsor","Must Fund","No Earlier","Stability","Current","Cost"
"SFC189501","Cultural Language Facility","95CABDE","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SFC19","SOF Battalion Operations Facility","1SFG","Joint Base Lewis McChord, WA","USASOC","-----","-----","-----","-----",0
"SFC36","SOF Deployment Readiness Warehouse","3SFG","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SFC38","SOF Logistics Facility","1SFG","Joint Base Lewis McChord, WA","USASOC","-----","-----","-----","-----",0
"SFC62","SOF Language Facility ","7SFG","Eglin AFB, FL","USASOC","-----","-----","-----","-----",0
"SHYQ149104","SOF Simulator Facility EC-130J","193SOW","HARRISBURG ANG, PA","AFSOC","-----","FY 22","FY 23","FY 23",8900
"SWC1702","SOF Surgical Strike Training Complex PH3","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC1703","SOF Surgical Strike Training Complex PH4","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC1704","SOF Surgical Strike Training Complex, PH 5","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC1706","SOF FOB Freedom Upgrades","SWCS","FT BRAGG, NC","USASOC","-----","FY 22","-----","FY 25",11000
"SWC1707","SOF Tactical Equipment Maintenance Facility","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC1708","SOF Airborne Staging Facility, MAAF","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC30","SOF Storage Warehouse ","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC31","SOF Parking Deck Bryant Hall","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC40","SOF Combat Diving Training Tank","SWCS","NAS Key West, FL","USASOC","-----","-----","-----","-----",0
"SWC41","Renovate KW100","SWCS","NAS Key West, FL","USASOC","-----","-----","-----","-----",0
"SWC47","SOF Combat Divers Training Support Facility","SWCS","NAS Key West, FL","USASOC","-----","-----","-----","-----",0
"SWC48","SOF Consolidated Divers Tng Facilty","SWCS","NAS Key West, FL","USASOC","-----","-----","-----","-----",0
"SWC50","SOF Surgical Strike Training Complex, Phase I","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"SWC51","SOF Surgical Strike Training Complex, Phase II","SWCS","FT BRAGG, NC","USASOC","-----","-----","-----","-----",0
"TBD1","SOF JMWC Facility","HQSOCOM","MacDill AFB, FL","HQSOCOM","-----","FY 22","-----","-----",0
"TBD2","Joint Communicaitons Training Facility","CDA-J1","FT BRAGG, NC","JSOC","-----","FY 25","-----","-----",0
"TBD3","SOF Operations Facility","SOCEUR","Lubliniec, Poland","SOCEUR","FY 25","FY 23","-----","FY 25",13000
