Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Business Rule,Previous Program,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
FTEV153012,SOF Parking Apron (AC-130J),"HURLBURT FIELD, FL",1SOW,AFSOC,60.25237122,85.6557377,41304,0,0,0,0,0,0,1,1,1,1,0,0,-3,375,-2,2478.24,-1,1652.16,2,0,1,,2,,1,
FTEV163002,SOF Integrated Operations Facility,"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,73.36065574,20500,0,0,0,0,0,0,0,1,1,1,0,23,-3,250,-2,1230,-1,820,2,2000,1,,2,368,1,
FTEV173002,SOF Simulator Facility (Manned ISR),"HURLBURT FIELD, FL",SOAWC,AFSOC,9.210101675,63.1147541,8500,0,0,0,0,0,0,0,0,0,1,0,25,-3,125,-2,510,-1,340,2,400,1,400,2,150,1,
FTFA173001,SOF Fuel Cell Hangar ,"EGLIN AFB, FL AUX FIELD (DUKE)",SOAWC,AFSOC,9.210101675,83.60655738,16200,0,0,0,0,0,0,1,1,1,1,0,23,-3,250,-2,972,-1,648,2,500,1,,2,168,1,
KYJM87817,SOF CONTROLLED HUMIDITY WAREHOUSE,"HOMESTEAD, FL",SOCSOUTH,SOCSOUTH,42.37717471,95.90163934,9604,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,576.24,-1,384.16,2,250,1,,2,40,1,400
KYJM87846,SOF RIGGING AND DRYING FACILITY ,"HOMESTEAD, FL",SOCSOUTH,SOCSOUTH,42.37717471,55.73770492,3960,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,237.6,-1,158.4,2,30,1,,2,50,1,0
LXEZ163901,SOF Human Performance Training Center,"KADENA AB, JP",353SOG,AFSOC,50.66879801,89.3442623,12960,0,1,0,0,0,0,1,1,1,1,0,22,-3,125,-2,777.6,-1,518.4,2,1227,1,,2,90,1,
MIS04,SOF Expand Battalion Headquarters Building ,"FT BRAGG, NC",4MISG,USASOC,84.2001776,36.06557377,6400,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,384,-1,256,2,512,1,512,2,96,1,224
MIS05,SOF 4th MISG Facility,"FT BRAGG, NC",4MISG,USASOC,84.2001776,28.27868852,27500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1650,-1,1100,2,2200,1,2200,2,412.5,1,962.5
NVZR173711,SOCCENT Operations Facility,"MacDill AFB, FL",SOCCENT,SOCCENT,42.37717471,97.95081967,21181,0,0,0,0,0,0,0,0,1,1,0,24,-3,250,-2,1270.86,-1,847.24,2,847,1,750,2,4700,1,318
P1052,SOF Multi-Purpose Ops Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,70.08196721,40200,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,2412,-1,1608,2,2596,1,581,2,1839,1,368
P1068,SOF Operations Facility Renovation,"DAM NECK, VA",CDA-N,JSOC,87.76227046,56.14754098,7500,1,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,450,-1,300,2,1480,1,332,2,978,1,418
P1075,SOF Operations Building Addition,"DAM NECK, VA",CDA-N,JSOC,87.76227046,64.3442623,14400,1,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,864,-1,576,2,1529,1,343,2,522,1,771
P1284,SOF Training Tank Expansion,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,47.95081967,12100,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,726,-1,484,2,619,1,399,2,129,1,0
P1411 ,SOF Paraloft Expansion ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,56.96721311,6228,1,0,0,0,0,1,1,1,1,1,0,21,-3,125,-2,373.68,-1,249.12,2,394,1,0 (75K),2,245,1,322
P1537,SOF Marine Raider Support Battalion and Unmanned Aerial System Facilities ,"CAMP LEJEUNE, NC",MSOSG,MARSOC,70.5037434,97.13114754,16000,0,0,0,0,0,0,1,1,1,1,0,0,-3,250,-2,960,-1,640,2,1350,1,300,2,650,1,250
P1538,SOF Support Facility Expansions  ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,86.06557377,12000,0,0,0,0,0,0,1,1,1,1,0,0,-3,125,-2,720,-1,480,2,2300,1,270,2,350,1,167
P1539,SOF Combat Service Support/Motor Transport Maintenance Expansion   ,"CAMP LEJEUNE, NC",MSOSG,MARSOC,70.5037434,76.2295082,15000,0,0,0,0,0,0,1,1,1,1,0,0,-3,250,-2,900,-1,600,2,820,1,0,2,200,1,0
P1540,SOF EOD Facility    ,"CAMP LEJEUNE, NC",MSOR,MARSOC,92.13504795,66.39344262,13000,0,0,0,0,0,0,1,1,1,1,0,0,-3,125,-2,780,-1,520,2,1500,1,300,2,650,1,250
P155 ,SOF Training Facility Addition,"Dam Neck, VA",CDA-N,JSOC,87.76227046,77.04918033,12300,0,0,0,0,0,0,0,1,1,1,0,23,-3,125,-2,738,-1,492,2,1000,1,250,2,600,1,250
P163,SOF Tactical Ground Mobility Ops and Storage Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,39.3442623,25600,0,0,0,0,0,0,0,1,1,1,0,0,-3,250,-2,1536,-1,1024,2,3800,1,850,2,2800,1,560
P167,SOF Logistics Support Facility,"DAM NECK, VA",CDA-N,JSOC,87.76227046,43.44262295,53000,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,3180,-1,2120,2,4300,1,977,2,3090,1,618
P169,SOF NAVSCIATTS Training  Support Facilities,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,42.62295082,10905,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,654.3,-1,436.2,2,750,1,250,2,200,1,80
P171,SOF NAVSCIATTS Operations Support Facility ,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,41.80327869,22025,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1321.5,-1,881,2,1750,1,500,2,300,1,150
P172,SOF NAVSCIATTS Partner Nation Student Quarters,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,40.16393443,19570,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1174.2,-1,782.8,2,1500,1,300,2,400,1,150
P175,SOF Human Performance Training Center,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,38.93442623,10765,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,645.9,-1,430.6,2,774,1,200,2,203,1,90
P177,SOF SOUC Training Facility,"Fort Pickett, VA",NSWCEN,NSW,9.862320627,86.8852459,50000,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,3000,-1,2000,2,1400,1,750,2,147,1,63
P178,SOF SBT-22 Operations Facilities ,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,37.70491803,22690,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1361.4,-1,907.6,2,2500,1,600,2,900,1,400
P226,SOF SRT-2 Operations Facility,"Little Creek, VA",NSWG10,NSW,80.09536188,54.09836066,52400,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,3144,-1,2096,2,3200,1,800,2,1600,1,800
P304,SOF Breacher Training Facility,"Fort Pickett, VA",NSWCEN,NSW,9.862320627,51.2295082,24800,0,0,0,0,0,0,0,1,1,1,0,0,-3,250,-2,1488,-1,992,2,1600,1,400,2,500,1,250
P310,SOF SBT-22 Boat Support Facilities,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,36.47540984,4100,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,246,-1,164,2,0,1,0,2,0,1,0
P311,SOF NAVSCIATTS Boat Ramp/Small Craft Berthing,"Stennis Space Center, MS",NSWG4,NSW,69.36164257,34.83606557,5020,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,301.2,-1,200.8,2,0,1,0,2,0,1,125
P325,SOF Human Performance Training Center,"Little Creek, VA",NSWG2,NSW,92.13504795,84.42622951,23200,1,0,0,0,0,1,1,1,1,1,0,21,-3,250,-2,1392,-1,928,2,1500,1,400,2,300,1,150
P341,SOCFWD-EA OPERATIONS FACILITY,"CAMP LEMONNIER, DJIBOUTI",SOCAFRICA,SOCAF,42.37717471,95.90163934,35700,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2142,-1,1428,2,800,1,,2,176,1,316
P477,SOF Indoor Dynamic Shooting Facility,"Pearl City, HI",NSWG3,NSW,77.25708879,70.90163934,24845,0,0,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1490.7,-1,993.8,2,1700,1,400,2,1200,1,600
P478,SOF Close Quarters Combat Facility,"Pearl City, HI",NSWG3,NSW,77.25708879,58.60655738,11600,0,0,0,0,0,0,1,1,1,1,0,0,-3,125,-2,696,-1,464,2,500,1,1800,2,400,1,250
P502,SOF Cold Water Training Austere Environment Facility,"Keyport, WA",NSWG3,NSW,77.25708879,74.18032787,20500,0,0,0,0,0,1,1,1,1,1,0,0,-3,250,-2,1230,-1,820,2,1500,1,345,2,500,1,794
P556,SOF Small Craft Operations Facility,"Kodiak, AK",NSWCEN,NSW,9.862320627,50,32300,0,0,0,0,0,0,0,1,1,1,0,0,-3,375,-2,1938,-1,1292,2,1000,1,350,2,250,1,250
P568,SOF NSWG-4 Finger Piers,"Little Creek, VA",NSWG4,NSW,69.36164257,68.03278689,4500,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,270,-1,180,2,0,1,500,2,0,1,0
P600,SOF Combatant Craft Launch and Recovery Facility,"San Clemente Island, CA",NSWG4,NSW,69.36164257,75.81967213,14800,0,0,0,0,0,0,0,1,1,1,0,0,-3,125,-2,888,-1,592,2,0,1,0,2,0,1,0
P619,SOF Multi-Purpose Range,"DAM NECK, VA",CDA-N,JSOC,87.76227046,72.13114754,32000,0,0,0,0,0,0,0,1,1,1,0,23,-3,375,-2,1920,-1,1280,2,470,1,4130,2,500,1,300
P624,SOF NSWU-3 Operations Support Facility #2,Bahrain,NSWG1,NSW,92.13504795,48.7704918,25020,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1501.2,-1,1000.8,2,3300,1,300,2,1000,1,620
P625,SOF NSWU-3 Operations Support Facility,Bahrain,NSWG1,NSW,92.13504795,63.52459016,16800,0,0,0,0,0,0,1,1,1,1,0,0,-3,250,-2,1008,-1,672,2,750,1,250,2,700,1,350
P626,SOF NSWU-1 Air Operations Facility,Guam,NSWG1,NSW,92.13504795,46.72131148,18880,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1132.8,-1,755.2,2,2000,1,475,2,1250,1,1500
P627,SOF NSWU-1 Dive Operations Facility,Guam,NSWG1,NSW,92.13504795,45.49180328,19600,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1176,-1,784,2,1800,1,360,2,800,1,300
P628,SOF NSWU-1 Training Support Facility,Guam,NSWG1,NSW,92.13504795,44.26229508,25650,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1539,-1,1026,2,1200,1,250,2,600,1,300
P629,SOF NSWU-1 Operations Support Facility,Guam,NSWG1,NSW,92.13504795,34.01639344,29820,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1789.2,-1,1192.8,2,2000,1,300,2,800,1,300
P654,SOF SBT20 Combatant Craft Operations Facility,"Little Creek, VA",NSWG4,NSW,69.36164257,72.54098361,20685,0,0,0,0,0,0,1,1,1,1,0,24,-3,250,-2,1241.1,-1,827.4,2,1200,1,300,2,700,1,400
P655,SOF Land Warfare Training Ranges,"Niland, CA",NSWCEN,NSW,9.862320627,60.24590164,24010,0,0,0,0,0,0,1,1,1,1,0,0,-3,250,-2,1440.6,-1,960.4,2,410,1,4100,2,0,1,0
P672,SOF Training Aid and Mock-Up Storage Facility,"Dam Neck, VA",CDA-N,JSOC,87.76227046,80.32786885,12000,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,720,-1,480,2,198,1,748,2,500,1,249
P821,SOF WARCOM Operations Support Facility,"Coronado, CA",NSWCOM,NSW,40.22909876,96.72131148,77000,0,0,0,0,0,0,0,1,1,1,0,23,-3,375,-2,4620,-1,3080,2,4786,1,1400,2,3351,1,1436
P870,SOF UAV Avionics Maintenance and Storage Facility,"Coronado, CA",NSWG10,NSW,80.09536188,52.45901639,17400,0,0,0,0,0,0,1,1,1,1,0,22,-3,250,-2,1044,-1,696,2,450,1,500,2,315,1,135
P901,SOF TRADET TWO Operations Facility,"Little Creek, VA",NSWG2,NSW,92.13504795,78.27868852,25900,0,0,0,0,0,0,0,1,1,1,0,23,-3,250,-2,1554,-1,1036,2,1900,1,900,2,500,1,400
P902,SOF Combat Swimmer Training Facility,"Key West, FL",NSWG2,NSW,92.13504795,68.85245902,12960,0,0,0,0,0,0,0,1,1,1,0,24,-3,125,-2,777.6,-1,518.4,2,1225,1,250,2,240,1,750
P904 ,SOF SEAL Team SEVENTEEN Operations Facility,"Coronado, CA",NSWG11,NSW,61.52192207,79.50819672,30600,0,0,0,0,0,0,1,1,1,1,0,24,-3,375,-2,1836,-1,1224,2,1500,1,450,2,402,1,173
P905,SOF SEAL Team EIGHTEEN Ops Facility,"Little Creek, VA",NSWG11,NSW,61.52192207,56.55737705,32900,0,0,0,0,0,0,0,0,1,1,0,0,-3,375,-2,1974,-1,1316,2,2600,1,1200,2,500,1,450
P906,SOF Dry Deck Shelter Operations Facility,"Little Creek, VA",NSWG3,NSW,77.25708879,62.29508197,20685,0,0,0,0,0,0,1,1,1,1,0,0,-3,250,-2,1241.1,-1,827.4,2,1200,1,700,2,300,1,400
P907,SOF Dry Combat Submersible Operations Facility and Command Center,JOINT EXPEDITIONARY BASE LITTLE CREEK - STORY ,NSWG3,NSW,77.25708879,93.44262295,54500,0,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,3270,-1,2180,2,2750,1,600,2,1500,1,400
P908,SOF NSWG-4 Operations Support Facility,"Little Creek, VA",NSWG4,NSW,69.36164257,65.57377049,77300,0,0,0,0,0,0,1,1,1,1,0,0,-3,375,-2,4638,-1,3092,2,5000,1,800,2,1950,1,750
P911,SOF SERE Training Facility,"Coronado, CA",NSWCEN,NSW,9.862320627,90.16393443,26500,0,0,0,0,0,1,1,1,1,1,0,21,-3,250,-2,1590,-1,1060,2,1600,1,430,2,525,1,265
P912,SOF NSWG11 Operations Support Facility,"Coronado, CA",NSWG11,NSW,61.52192207,81.14754098,7600,0,0,0,0,0,0,1,1,1,1,0,22,-3,125,-2,456,-1,304,2,550,1,250,2,262,1,113
P951,SOF ATC Operations Support Facility,"Coronado, CA",NSWCEN,NSW,9.862320627,88.52459016,20200,0,0,0,0,0,1,1,1,1,1,0,21,-3,250,-2,1212,-1,808,2,1800,1,350,2,875,1,440
P967,SOF Multi Purpose Canine Facility,"Coronado, CA",NSWG1,NSW,92.13504795,82.78688525,7230,0,0,0,0,0,1,1,1,1,1,0,22,-3,125,-2,433.8,-1,289.2,2,500,1,639,2,97,1,42
P997,SOF NSWG2 NSWTG Combat Service Support Facilities ,JOINT EXPEDITIONARY BASE LITTLE CREEK - STORY ,NSWG2,NSW,92.13504795,91.80327869,58000,1,0,0,0,0,1,1,1,1,1,0,21,-3,375,-2,3480,-1,2320,2,3500,1,975,2,1500,1,500
PQWY183001,SOF 22 STS Operational Training Facilities,"JOINT BASE LEWIS MCCHORD, WA",24SOW,AFSOC,81.63461715,59.01639344,21140,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1268.4,-1,845.6,2,350,1,,2,50,1,
PXLY073001,SOF Mission Rehearsal Landing Zone,"CANNON AFB, NM",27SOW,AFSOC,61.68258988,71.31147541,14700,0,0,0,0,0,0,0,1,1,1,0,0,-3,125,-2,882,-1,588,2,,1,,2,,1,
SAC06,SOF Access Control Point,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,7.37704918,8000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,480,-1,320,2,400,1,250,2,120,1,280
SAC21,SOF TAPO Facility,"Joint Base Langley Eustis, VA",160SOR,USASOC,52.09901668,26.63934426,8000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,480,-1,320,2,640,1,640,2,120,1,280
SAC23,SOF Battalion Headquarters,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,31.14754098,12000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,720,-1,480,2,960,1,960,2,180,1,420
SAC24,SOF Hangar,"FT BRAGG, NC",160SOT,USASOC,8.523839147,3.68852459,38000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2280,-1,1520,2,1900,1,1140,2,570,1,1330
SAC31,SOF Consolidated COF,"Joint Base Lewis McChord, WA",160SOR,USASOC,52.09901668,30.32786885,9000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,540,-1,360,2,720,1,720,2,135,1,315
SAC32,SOF Deployment Readiness Warehouse,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,21.72131148,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,0,2,105,1,245
SAC33,SOF Deployment Readiness Warehouse,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,20.08196721,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,0,2,105,1,245
SAC34,SOF Deployment Readiness Warehouse,"Joint Base Lewis McChord, WA",160SOR,USASOC,52.09901668,22.95081967,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,0,2,105,1,245
SAC35,SOF Deployment Readiness Warehouse,"HUNTER AAF, GA",160SOR,USASOC,52.09901668,25,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,0,2,105,1,245
SAC36,SOF Tactical Equipment Maintenance Facility,"Joint Base Lewis McChord, WA",160SOR,USASOC,52.09901668,18.85245902,12300,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,738,-1,492,2,861,1,123,2,184.5,1,430.5
SAC38,SOF Hangar Addition,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,27.86885246,15000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,900,-1,600,2,750,1,450,2,225,1,525
SAC39,Parking Deck Garage,"FT CAMPBELL, KY",160SOR,USASOC,52.09901668,2.049180328,10400,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,624,-1,416,2,832,1,0,2,156,1,364
SFC1409,SOF Sniper Rappel Tower,"FT  CARSON, CO",10SFG,USASOC,100,23.36065574,6800,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,408,-1,272,2,544,1,0,2,102,1,238
SFC1416,SOF Company Operations Facility (CRF Co),"FT CARSON, CO",10SFG,USASOC,100,34.42622951,18000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1080,-1,720,2,1440,1,1440,2,270,1,630
SFC1421,SOF Language Facility ,"FT BRAGG, NC",3SFG,USASOC,100,30.73770492,22400,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1344,-1,896,2,1792,1,1792,2,336,1,784
SFC1502,SOF Battalion Tactical Equipment Maintenance Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,43.03278689,6700,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,402,-1,268,2,469,1,67,2,100.5,1,234.5
SFC1505,SOF Combat Water Survival Training Facility,"FT BRAGG, NC",3SFG,USASOC,100,7.786885246,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
SFC1522,SOF Tactical Equipment Maintenance Facility,"FT BRAGG, NC",SUSB,USASOC,62.48791721,13.52459016,11008,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,660.48,-1,440.32,2,880.64,1,880.64,2,165.12,1,385.28
SFC1601,SOF MISG HQ Renovation,"FT BRAGG, NC",8MISG,USASOC,84.2001776,23.7704918,18000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1080,-1,720,2,1440,1,1440,2,270,1,630
SFC1701,SOF Combat Water Survival Training Facility,"FT CARSON, CO",10SFG,USASOC,100,9.016393443,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
SFC1711,SOF Combat Water Survival Training Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,6.557377049,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
SFC1741,SOF Media Operations Center Modernization and Expansion,"FT BRAGG, NC",4MISG,USASOC,84.2001776,54.91803279,27000,0,0,0,0,0,0,0,0,1,1,0,0,-3,250,-2,1620,-1,1080,2,2160,1,2160,2,405,1,945
SFC1751,SOF Combat Water Survival Training Facility,"FT CAMPBELL, KY",5SFG,USASOC,100,5.737704918,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
SFC1771,SOF Human Performance Training Center,"Eglin AFB, FL",7SFG,USASOC,100,26.2295082,17415,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1044.9,-1,696.6,2,1741.5,1,0,2,261.225,1,609.525
SFC1772,SOF Combat Water Survival Training Facility,"Eglin AFB, FL",7SFG,USASOC,100,4.918032787,12500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,750,-1,500,2,1000,1,1000,2,187.5,1,437.5
SFC1801,SOF BLDGS 7402 and 7404 Modernization,"FT CARSON, CO",10SFG,USASOC,100,32.37704918,11800,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,708,-1,472,2,944,1,944,2,177,1,413
SFC180101,SOF Sensitive Activities Training Facility,"FT BRAGG, NC",1SFG,USASOC,100,16.80327869,25000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1500,-1,1000,2,2000,1,2000,2,375,1,875
SFC1841,SOF Research Analytic Center,"FT BRAGG, NC",4MISG,USASOC,84.2001776,52.04918033,7500,0,0,0,0,0,0,0,0,1,1,0,0,-3,125,-2,450,-1,300,2,600,1,600,2,112.5,1,262.5
SFC1842,1x PSYOP Battalion Operations Facility,"FT BRAGG, NC",4MISG,USASOC,84.2001776,12.70491803,8000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,480,-1,320,2,640,1,640,2,120,1,280
SFC1843,1x PSYOP Battalion Operations Facility,"FT BRAGG, NC",4MISG,USASOC,84.2001776,10.6557377,8000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,480,-1,320,2,640,1,640,2,120,1,280
SFC1844,Language Regional Expertise and Cultural Center,"FT BRAGG, NC",4MISG,USASOC,84.2001776,31.96721311,10500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,630,-1,420,2,840,1,840,2,157.5,1,367.5
SFC1845,1x Three Company Operations Facility ,"FT BRAGG, NC",4MISG,USASOC,84.2001776,25.40983607,13750,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,825,-1,550,2,1100,1,1100,2,206.25,1,481.25
SFC1846,Operational Skills Detachment,"FT BRAGG, NC",4MISG,USASOC,84.2001776,17.62295082,7500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,450,-1,300,2,600,1,600,2,112.5,1,262.5
SFC185281,SOF Rigger Facility Annex,"FT BRAGG, NC",SUSB,USASOC,62.48791721,0.819672131,6600,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,396,-1,264,2,264,1,660,2,99,1,231
SFC1881,Son Tay Utilities and AT/FP Upgrade,"FT BRAGG, NC",8MISG,USASOC,84.2001776,22.13114754,7500,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,450,-1,300,2,600,1,0,2,112.5,1,262.5
SFC1882,"Renovate H2309 (Legal, SHARP, FSRA, EO/EEO)","FT BRAGG, NC",8MISG,USASOC,84.2001776,16.39344262,1750,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,105,-1,70,2,140,1,140,2,26.25,1,61.25
SFC1883,PSYOP Battalion Operations Facility Renovation (H3014),"FT BRAGG, NC",8MISG,USASOC,84.2001776,29.91803279,16500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,990,-1,660,2,1320,1,1320,2,247.5,1,577.5
SFC1884,Re-establish Son Tay Road and Resurface Sapper Street,"FT BRAGG, NC",8MISG,USASOC,84.2001776,6.147540984,6000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,360,-1,240,2,480,1,0,2,90,1,210
SFC1885,Extend Psyops Lane through Hotel Campus,"FT BRAGG, NC",8MISG,USASOC,84.2001776,8.606557377,6000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,360,-1,240,2,480,1,0,2,90,1,210
SFC1886,"4x HSC Company Operations Facility Renovation (H2908, H2919)","FT BRAGG, NC",8MISG,USASOC,84.2001776,27.04918033,11250,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,675,-1,450,2,900,1,900,2,168.75,1,393.75
SFC189501,Cultural Language Facility,"FT BRAGG, NC",95CABDE,USASOC,77.90464362,19.26229508,22400,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1344,-1,896,2,1792,1,1792,2,336,1,784
SFC19,SOF Battalion Operations Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,29.50819672,41000,0,0,0,0,0,0,0,0,0,0,0,0,-3,375,-2,2460,-1,1640,2,2870,1,410,2,615,1,1435
SFC36,SOF Deployment Readiness Warehouse,"FT BRAGG, NC",3SFG,USASOC,100,18.03278689,7000,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,420,-1,280,2,560,1,0,2,105,1,245
SFC38,SOF Logistics Facility,"Joint Base Lewis McChord, WA",1SFG,USASOC,100,25.81967213,18500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1110,-1,740,2,1480,1,0,2,277.5,1,647.5
SFC62,SOF Language Facility ,"Eglin AFB, FL",7SFG,USASOC,100,11.06557377,18500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1110,-1,740,2,1480,1,1480,2,277.5,1,647.5
SHYQ149104,SOF Simulator Facility EC-130J,"HARRISBURG ANG, PA",193SOW,AFSOC,29.50839429,75.40983607,8900,0,0,0,0,0,0,1,1,1,1,0,23,-3,125,-2,534,-1,356,2,400,1,400,2,150,1,
SWC1702,SOF Surgical Strike Training Complex PH3,"FT BRAGG, NC",SWCS,USASOC,9.862320627,11.8852459,13600,0,0,0,0,0,0,0,0,0,0,0,0,-3,125,-2,816,-1,544,2,1088,1,1088,2,204,1,476
SWC1703,SOF Surgical Strike Training Complex PH4,"FT BRAGG, NC",SWCS,USASOC,9.862320627,4.098360656,18500,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1110,-1,740,2,1480,1,1480,2,277.5,1,647.5
SWC1704,"SOF Surgical Strike Training Complex, PH 5","FT BRAGG, NC",SWCS,USASOC,9.862320627,3.278688525,20000,0,0,0,0,0,0,0,0,0,0,0,0,-3,250,-2,1200,-1,800,2,1600,1,1600,2,300,1,700
SWC1706,SOF FOB Freedom Upgrades,"FT BRAGG, NC",SWCS,USASOC,9.862320627,76.63934426,11000,0,0,0,0,0,0,1,1,1,1,0,0,-3,125,-2,660,-1,440,2,880,1,0,2,165,1,385
