Project Number,Project Title,Location,MIS Program,Capability Sponsor,CBPL Score,Rank Score,Cost,Must Fund FY21,Must Fund FY22,Must Fund FY23,Must Fund FY24,Must Fund FY25,NET FY21,NET FY22,NET FY23,NET FY24,NET FY25,Desired FY,Stability,PDS,PDS_DOL,PND1,PND1_DOL,PND2,PND2_DOL,CEQOM,CEQOM_DOL,CEQPROC,CEQPROC_DOL,C4IOM,C4IOM_DOL,C4IPROC,C4IPROC_DOL
P821,SOF WARCOM Operations Support Facility,"Coronado, CA",NSWCOM,NSW,40.22909876,96.72131148,77000,0,0,0,0,0,0,0,1,1,1,1,23,-3,375,-2,4620,-1,3080,2,4786,1,1400,2,3351,1,1436
P870,SOF UAV Avionics Maintenance and Storage Facility,"Coronado, CA",NSWG10,NSW,80.09536188,52.45901639,17400,0,0,0,0,0,0,1,1,1,1,1,22,-3,250,-2,1044,-1,696,2,450,1,500,2,315,1,135
P901,SOF TRADET TWO Operations Facility,"Little Creek, VA",NSWG2,NSW,92.13504795,78.27868852,25900,0,0,0,0,0,0,0,1,1,1,1,23,-3,250,-2,1554,-1,1036,2,1900,1,900,2,500,1,400
P902,SOF Combat Swimmer Training Facility,"Key West, FL",NSWG2,NSW,92.13504795,68.85245902,12960,0,0,0,0,0,0,0,1,1,1,1,24,-3,125,-2,777.6,-1,518.4,2,1225,1,250,2,240,1,750
P904 ,SOF SEAL Team SEVENTEEN Operations Facility,"Coronado, CA",NSWG11,NSW,61.52192207,79.50819672,30600,0,0,0,0,0,0,1,1,1,1,1,24,-3,375,-2,1836,-1,1224,2,1500,1,450,2,402,1,173
P905,SOF SEAL Team EIGHTEEN Ops Facility,"Little Creek, VA",NSWG11,NSW,61.52192207,56.55737705,32900,0,0,0,0,0,0,0,0,1,1,1,0,-3,375,-2,1974,-1,1316,2,2600,1,1200,2,500,1,450
P906,SOF Dry Deck Shelter Operations Facility,"Little Creek, VA",NSWG3,NSW,77.25708879,62.29508197,20685,0,0,0,0,0,0,1,1,1,1,1,0,-3,250,-2,1241.1,-1,827.4,2,1200,1,700,2,300,1,400
P907,SOF Dry Combat Submersible Operations Facility and Command Center,JOINT EXPEDITIONARY BASE LITTLE CREEK - STORY ,NSWG3,NSW,77.25708879,93.44262295,54500,0,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,3270,-1,2180,2,2750,1,600,2,1500,1,400
P908,SOF NSWG-4 Operations Support Facility,"Little Creek, VA",NSWG4,NSW,69.36164257,65.57377049,77300,0,0,0,0,0,0,1,1,1,1,1,0,-3,375,-2,4638,-1,3092,2,5000,1,800,2,1950,1,750
P911,SOF SERE Training Facility,"Coronado, CA",NSWCEN,NSW,9.862320627,90.16393443,26500,0,0,0,0,0,1,1,1,1,1,1,21,-3,250,-2,1590,-1,1060,2,1600,1,430,2,525,1,265
P912,SOF NSWG11 Operations Support Facility,"Coronado, CA",NSWG11,NSW,61.52192207,81.14754098,7600,0,0,0,0,0,0,1,1,1,1,1,22,-3,125,-2,456,-1,304,2,550,1,250,2,262,1,113
P951,SOF ATC Operations Support Facility,"Coronado, CA",NSWCEN,NSW,9.862320627,88.52459016,20200,0,0,0,0,0,1,1,1,1,1,1,21,-3,250,-2,1212,-1,808,2,1800,1,350,2,875,1,440
P967,SOF Multi Purpose Canine Facility,"Coronado, CA",NSWG1,NSW,92.13504795,82.78688525,7230,0,0,0,0,0,1,1,1,1,1,1,22,-3,125,-2,433.8,-1,289.2,2,500,1,639,2,97,1,42
P997,SOF NSWG2 NSWTG Combat Service Support Facilities ,JOINT EXPEDITIONARY BASE LITTLE CREEK - STORY ,NSWG2,NSW,92.13504795,91.80327869,58000,1,0,0,0,0,1,1,1,1,1,1,21,-3,375,-2,3480,-1,2320,2,3500,1,975,2,1500,1,500
PXLY073001,SOF Mission Rehearsal Landing Zone,"CANNON AFB, NM",27SOW,AFSOC,61.68258988,71.31147541,14700,0,0,0,0,0,0,0,1,1,1,1,0,-3,125,-2,882,-1,588,2,,1,,2,,1,
SFC1741,SOF Media Operations Center Modernization and Expansion,"FT BRAGG, NC",4MISG,USASOC,84.2001776,54.91803279,27000,0,0,0,0,0,0,0,0,1,1,1,0,-3,250,-2,1620,-1,1080,2,2160,1,2160,2,405,1,945
SFC1841,SOF Research Analytic Center,"FT BRAGG, NC",4MISG,USASOC,84.2001776,52.04918033,7500,0,0,0,0,0,0,0,0,1,1,1,0,-3,125,-2,450,-1,300,2,600,1,600,2,112.5,1,262.5
SHYQ149104,SOF Simulator Facility EC-130J,"HARRISBURG ANG, PA",193SOW,AFSOC,29.50839429,75.40983607,8900,0,0,0,0,0,0,1,1,1,1,1,23,-3,125,-2,534,-1,356,2,400,1,400,2,150,1,
SWC1706,SOF FOB Freedom Upgrades,"FT BRAGG, NC",SWCS,USASOC,9.862320627,76.63934426,11000,0,0,0,0,0,0,1,1,1,1,1,0,-3,125,-2,660,-1,440,2,880,1,0,2,165,1,385
TBD1,SOF JMWC Facility,"MacDill AFB, FL",HQSOCOM,HQSOCOM,47.49760876,95.08196721,40000,0,0,0,0,0,0,1,1,1,1,1,0,-3,375,-2,2400,-1,1600,2,5000,1,2000,2,6000,1,8000
TBD3,SOF Operations Facility,"Lubliniec, Poland",SOCEUR,SOCEUR,42.37717471,0,13000,0,0,0,0,1,0,0,1,1,1,1,0,-3,125,-2,780,-1,520,2,,1,,2,,1,
